id,address,city,state,price,bedrooms,bathrooms,area_sqft,listing_date,agent_name,email
39,10249 Gonzales Mountain Suite 648,New York,CA,447382,4,3,517,2025-01-04,Jessica George,cassandra01@gmail.com
40,490 Thomas Run,chicago,IL,493555,2,2,4486,2024-06-12,Donald Shea,ecosta@yahoo.com
41,1256 Roberts Locks Apt. 715,New York,AZ,821476,1,3,4941,2024-01-05,Brian Barton,mgutierrez@cox.com
42,247 Martinez Roads Apt. 248,los angeles,TX,577276,2,1,4850,2024-08-29,Jason Walker,pvalentine@jimenez.com
43,7737 Patrick Rapid Apt. 146,Los Angeles,CA,121849,2,4,1056,2024-04-14,Richard Adams,jessica99@burns.com
44,5339 Hall Trail Suite 057,los angeles,CA,657040,5,1,825,2023-10-16,Roberta Hughes,ihanna@sanford.info
45,26217 Morgan Square Suite 158,los angeles,AZ,598177,3,2,3091,2025-07-15,Eugene Higgins,williamsonjimmy@hotmail.com
46,16117 Heather Burgs Apt. 504,San Francisco,CA,328517,2,3,3742,2024-11-23,Jeffrey Sanchez,georgemiller@yahoo.com
47,9237 Stevens Shores,Los Angeles,NY,530547,1,2,1319,2025-05-17,Robert Santana,alexandermichael@evans.info
48,67136 Andrews Squares Suite 064,Chicago,IL,973653,2,3,1063,2024-12-06,Sean Osborne,swall@lawson.com
49,421 Kyle Mill,chicago,AZ,787715,5,1,2978,2025-04-01,Jacob Anderson,julie23@gmail.com
50,842 Sloan Orchard Suite 517,Houston ,IL,745613,2,3,1348,2024-09-19,Brenda Levy,christopher60@yahoo.com
51,5496 Rodriguez Fort,Los Angeles,CA,630097,3,3,1773,2025-07-06,Manuel Hahn,deborahreid@yahoo.com
52,612 Sophia Hollow Suite 113,San Francisco,CA,770892,5,4,2662,2024-11-20,Brandy Chavez,nicolepena@yahoo.com
53,0537 Sampson Walk Suite 158,New York,NY,715095,3,1,3969,2024-03-01,Maria Brown,invalid-email
54,71390 Kristin Gardens,Chicago,CA,324680,4,4,1823,2024-03-02,Rachel Harris DVM,lisahall@kramer.com
55,84210 Alexis Turnpike,Los Angeles,NY,976004,5,1,1721,2025-03-01,Leah Smith,martinezrobert@gmail.com
56,7589 Shannon Forges,los angeles,AZ,205287,2,1,4020,2024-08-06,Amanda Logan,bschneider@gmail.com
57,1771 Marc Drive Apt. 249,New York,IL,270281,1,3,2544,2025-04-07,Kimberly Nguyen,bwagner@gmail.com
58,836 Beasley Loop,San Fransico,AZ,835884,2,2,1766,2023-10-09,Jesse Perry,ronald45@mcdaniel.com
59,61528 Brenda Points,Chicago,TX,75990,3,4,1969,2023-10-19,Meagan Jenkins,schmittcaroline@yahoo.com
60,73158 Wilson Harbors,Houston,IL,216931,4,1,1385,2024-10-12,Renee Bruce,anthony44@bell-white.com
61,20183 Barnes Junctions Apt. 545,Houston,CA,906253,3,3,4270,2024-07-08,Latoya Miller,ericwilliamson@miller.org
62,3815 Rodriguez Springs Suite 840,Houston,CA,74813,4,3,2082,2023-12-14,William Brown,sierra24@murphy-smith.biz
63,8388 Jones Wall,Los Angeles,IL,418203,4,3,4673,2023-12-11,Jessica Stevens,barbara96@bowman.com
64,516 John Radial Suite 816,Los Angeles,IL,237241,1,1,2674,2024-01-30,Nichole Walker,dixondaniel@lee.com
65,43292 Gregory Trail,San Francisco,CA,874629,4,1,3069,2023-09-22,Julie Elliott,michelle52@yahoo.com
66,4490 Romero Inlet Suite 700,los angeles,CA,317095,4,1,863,2024-04-05,Dustin Newman,jford@huang.com
67,207 Lisa Villages Suite 182,Houston ,CA,804377,3,4,2114,2025-04-04,Michael Ritter,nathan46@schroeder-shelton.com
68,51864 Cummings Shoals Apt. 519,San Francisco,AZ,379164,3,3,1520,2024-10-07,Sydney Collins,brookehurley@yahoo.com
69,528 Debbie Manors Suite 054,San Francisco,TX,781076,5,2,2922,2024-03-16,Daniel Meza,jeremytaylor@gmail.com
70,880 Walter River,San Fransico,CA,834475,5,3,1925,2024-01-28,James Martin,xwilliams@ball.info
71,7359 Murray Haven,New York,IL,350850,4,3,2221,2024-10-03,Kathryn Barnes,laurietaylor@williams-castillo.com
72,814 Kathryn Groves,chicago,CA,274082,4,2,4687,2024-05-16,Jose Guerra,lisawilkerson@perry.net
73,1530 Galvan Villages,Phoenix,AZ,746101,1,2,3245,2024-02-14,Gabriela Thomas,samantha72@harrison.com
74,89861 Young Crossing,Houston,CA,204511,1,2,700,2024-09-19,Jason Bauer,rodriguezrebecca@hotmail.com
75,893 Kelly Alley,los angeles,NY,527538,5,2,3895,2023-09-02,Cynthia Butler,carlos88@hartman.info
76,4051 Allen Shoals Apt. 952,San Fransico,TX,469066,2,1,2498,2023-08-28,Joshua Li,epollard@white.info
77,03054 Hays Plains Suite 403,Los Angeles,TX,279471,5,4,1940,2025-02-27,Scott Williams,david56@yahoo.com
78,5277 Glass Path Suite 161,Houston,NY,528634,4,3,1592,2024-07-11,Zachary White,curtis54@yahoo.com
79,75705 Hill Turnpike Apt. 165,chicago,AZ,904596,4,4,4635,2024-05-07,Nicole Moore,melindagregory@johnson-jones.com
80,092 Rush Landing Suite 192,chicago,TX,321782,3,4,2525,2025-01-27,Jennifer Banks,johnsonjacob@hughes.com
81,94731 Melissa Mission Apt. 715,Phoenix,TX,131247,2,3,2840,2024-01-21,Michelle Pierce,melissa25@hotmail.com
82,23705 Mcdonald Plaza,Houston ,NY,195095,2,4,1735,2025-04-30,Stephen Jones,xfox@yahoo.com
83,51778 Anderson Village,Houston,NY,485020,3,4,3839,2023-12-03,Margaret White,dshaw@holmes.com
84,358 Singleton Glen Apt. 842,Houston,TX,458396,5,4,660,2023-10-02,Lisa Davis,georgeweber@morgan.com
85,943 Montgomery Burgs,San Francisco,IL,840075,4,2,3694,2024-06-17,Mr. Dylan Frye MD,shawn02@yahoo.com
86,3592 Hensley Island Suite 625,Phoenix,TX,559232,4,3,737,2024-06-19,Ashley Allen,shannon21@roberts.org
87,59532 Ferrell Mountain,San Fransico,CA,223061,2,1,4328,2024-03-08,Mr. Alexander Landry MD,brandywilliams@simpson-khan.info
88,62456 Williams Center,los angeles,AZ,745205,1,4,722,2023-11-07,Chloe Tran,wgordon@ramirez.com
89,5585 James Pass,chicago,CA,102727,4,3,2631,2025-06-23,Andrew Williams,jstone@hotmail.com
90,9526 Wheeler Parkways,San Francisco,IL,848207,3,4,3605,2025-01-04,Kim Erickson,xcabrera@yahoo.com
91,9409 Baker Shoal,Los Angeles,TX,70324,1,3,4918,2023-08-24,Paula Lane,ojackson@harvey.com
92,07562 Vaughn Loop,Los Angeles,CA,92213,2,2,754,2025-07-08,Lisa Ruiz,aprilhoffman@mendoza.info
93,549 Lee Gateway Suite 843,los angeles,CA,300132,4,1,1534,2024-10-18,Vickie Wise,wstewart@peck.com
94,5240 Moses Common Suite 747,Houston,TX,783442,3,2,2599,2024-02-04,Ronald Nelson,danielyang@gmail.com
95,833 Craig Isle,Los Angeles,CA,376147,5,1,1385,2024-04-05,Ashlee Townsend,richarddonovan@woods-gonzalez.com
96,019 Amanda Stream Apt. 262,los angeles,CA,443537,2,1,3749,2025-06-10,Amanda Huff,sharonhayden@yahoo.com
97,49915 Gibson Row,Houston,NY,781059,5,1,2970,2025-02-17,Kathleen Mays,james15@gmail.com
98,420 Gibbs Port Apt. 296,los angeles,NY,414069,4,3,4864,2024-07-11,Kaylee Miller,tinawoods@smith.com
99,4990 Valdez Square Apt. 017,San Francisco,NY,940844,4,1,3941,2024-11-19,Jared Shaw,fowlershelia@yahoo.com
100,27279 Perry Plaza,San Francisco,CA,984884,2,4,4266,2023-09-29,Nicole Pham,erinlarson@fox.com
